index	subject	issuer	serial	not_before	not_after	sha256_fingerprint	der_sha256
000.pem	C = BE, O = GlobalSign nv-sa, OU = Root CA, CN = GlobalSign Root CA	C = BE, O = GlobalSign nv-sa, OU = Root CA, CN = GlobalSign Root CA	040000000001154B5AC394	Sep  1 12:00:00 1998 GMT	Jan 28 12:00:00 2028 GMT	EB:D4:10:40:E4:BB:3E:C7:42:C9:E3:81:D3:1E:F2:A4:1A:48:B6:68:5C:96:E7:CE:F3:C1:DF:6C:D4:33:1C:99	ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99
001.pem	OU = GlobalSign Root CA - R2, O = GlobalSign, CN = GlobalSign	OU = GlobalSign Root CA - R2, O = GlobalSign, CN = GlobalSign	0400000000010F8626E60D	Dec 15 08:00:00 2006 GMT	Dec 15 08:00:00 2021 GMT	CA:42:DD:41:74:5F:D0:B8:1E:B9:02:36:2C:F9:D8:BF:71:9D:A1:BD:1B:1E:FC:94:6F:5B:4C:99:F4:2C:1B:9E	ca42dd41745fd0b81eb902362cf9d8bf719da1bd1b1efc946f5b4c99f42c1b9e
002.pem	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 1999 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G3"	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 1999 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G3"	9B7E0649A33E62B9D5EE90487129EF57	Oct  1 00:00:00 1999 GMT	Jul 16 23:59:59 2036 GMT	EB:04:CF:5E:B1:F3:9A:FA:76:2F:2B:B1:20:F2:96:CB:A5:20:C1:B9:7D:B1:58:95:65:B8:1C:B9:A1:7B:72:44	eb04cf5eb1f39afa762f2bb120f296cba520c1b97db1589565b81cb9a17b7244
003.pem	O = Entrust.net, OU = www.entrust.net/CPS_2048 incorp. by ref. (limits liab.), OU = (c) 1999 Entrust.net Limited, CN = Entrust.net Certification Authority (2048)	O = Entrust.net, OU = www.entrust.net/CPS_2048 incorp. by ref. (limits liab.), OU = (c) 1999 Entrust.net Limited, CN = Entrust.net Certification Authority (2048)	3863DEF8	Dec 24 17:50:51 1999 GMT	Jul 24 14:15:12 2029 GMT	6D:C4:71:72:E0:1C:BC:B0:BF:62:58:0D:89:5F:E2:B8:AC:9A:D4:F8:73:80:1E:0C:10:B9:C8:37:D2:1E:B1:77	6dc47172e01cbcb0bf62580d895fe2b8ac9ad4f873801e0c10b9c837d21eb177
004.pem	C = IE, O = Baltimore, OU = CyberTrust, CN = Baltimore CyberTrust Root	C = IE, O = Baltimore, OU = CyberTrust, CN = Baltimore CyberTrust Root	020000B9	May 12 18:46:00 2000 GMT	May 12 23:59:00 2025 GMT	16:AF:57:A9:F6:76:B0:AB:12:60:95:AA:5E:BA:DE:F2:2A:B3:11:19:D6:44:AC:95:CD:4B:93:DB:F3:F2:6A:EB	16af57a9f676b0ab126095aa5ebadef22ab31119d644ac95cd4b93dbf3f26aeb
005.pem	C = SE, O = AddTrust AB, OU = AddTrust External TTP Network, CN = AddTrust External CA Root	C = SE, O = AddTrust AB, OU = AddTrust External TTP Network, CN = AddTrust External CA Root	01	May 30 10:48:38 2000 GMT	May 30 10:48:38 2020 GMT	68:7F:A4:51:38:22:78:FF:F0:C8:B1:1F:8D:43:D5:76:67:1C:6E:B2:BC:EA:B4:13:FB:83:D9:65:D0:6D:2F:F2	687fa451382278fff0c8b11f8d43d576671c6eb2bceab413fb83d965d06d2ff2
006.pem	"C = US, O = ""Entrust, Inc."", OU = www.entrust.net/CPS is incorporated by reference, OU = ""(c) 2006 Entrust, Inc."", CN = Entrust Root Certification Authority"	"C = US, O = ""Entrust, Inc."", OU = www.entrust.net/CPS is incorporated by reference, OU = ""(c) 2006 Entrust, Inc."", CN = Entrust Root Certification Authority"	456B5054	Nov 27 20:23:42 2006 GMT	Nov 27 20:53:42 2026 GMT	73:C1:76:43:4F:1B:C6:D5:AD:F4:5B:0E:76:E7:27:28:7C:8D:E5:76:16:C1:E6:E6:14:1A:2B:2C:BC:7D:8E:4C	73c176434f1bc6d5adf45b0e76e727287c8de57616c1e6e6141a2b2cbc7d8e4c
007.pem	C = US, O = GeoTrust Inc., CN = GeoTrust Global CA	C = US, O = GeoTrust Inc., CN = GeoTrust Global CA	023456	May 21 04:00:00 2002 GMT	May 21 04:00:00 2022 GMT	FF:85:6A:2D:25:1D:CD:88:D3:66:56:F4:50:12:67:98:CF:AB:AA:DE:40:79:9C:72:2D:E4:D2:B5:DB:36:A7:3A	ff856a2d251dcd88d36656f450126798cfabaade40799c722de4d2b5db36a73a
008.pem	C = US, O = GeoTrust Inc., CN = GeoTrust Universal CA	C = US, O = GeoTrust Inc., CN = GeoTrust Universal CA	01	Mar  4 05:00:00 2004 GMT	Mar  4 05:00:00 2029 GMT	A0:45:9B:9F:63:B2:25:59:F5:FA:5D:4C:6D:B3:F9:F7:2F:F1:93:42:03:35:78:F0:73:BF:1D:1B:46:CB:B9:12	a0459b9f63b22559f5fa5d4c6db3f9f72ff19342033578f073bf1d1b46cbb912
009.pem	C = US, O = GeoTrust Inc., CN = GeoTrust Universal CA 2	C = US, O = GeoTrust Inc., CN = GeoTrust Universal CA 2	01	Mar  4 05:00:00 2004 GMT	Mar  4 05:00:00 2029 GMT	A0:23:4F:3B:C8:52:7C:A5:62:8E:EC:81:AD:5D:69:89:5D:A5:68:0D:C9:1D:1C:B8:47:7F:33:F8:78:B9:5B:0B	a0234f3bc8527ca5628eec81ad5d69895da5680dc91d1cb8477f33f878b95b0b
