name	version	path	bytes	md5	package_url	remote_manifest_url
Activity	0.0.1	assets/res/raw-assets/2e/2e8c4a71-9d35-4f6b-b812-0a7c3e5d9f28.manifest	202	8c932b0305dded62b3fe51ca1bea25cd	http://ifs.yonorummy.in/GameX/1.6.8.7/Activity	http://ifs.yonorummy.in/GameX/Activity/project.manifest
AladingWheel	0.0.1	assets/res/raw-assets/ae/aeef4b55-9036-4366-9b74-b1682157f73c.manifest	214	4f7892476931000c8dd2f70186e9ae4a	http://ifs.yonorummy.in/GameX/1.6.8.7/AladingWheel	http://ifs.yonorummy.in/GameX/AladingWheel/project.manifest
Alibaba	0.0.1	assets/res/raw-assets/f3/f34c8622-598a-437d-baf1-0099bbc368aa.manifest	211	3f589b158b833e85ccd7d5b05b2e5b6c	http://ifs.yonorummy.in/GameX/1.6.8.7/Alibaba	http://ifs.yonorummy.in/GameX/Alibaba/project.manifest
AndarBahar	0.0.1	assets/res/raw-assets/d1/d1fd1073-a32e-435d-a6f1-7cd1c628a610.manifest	206	188e0b9a0989f704f46a58768c79aed3	http://ifs.yonorummy.in/GameX/1.6.8.7/AndarBahar	http://ifs.yonorummy.in/GameX/AndarBahar/project.manifest
Archer	0.0.1	assets/res/raw-assets/e8/e831a809-0157-4191-ae29-b42b4c6b88b6.manifest	193	46f7d3c4dda381754c526c7cc5e4dbad	http://ifs.yonorummy.in/GameX/1.6.8.7/Archer	http://ifs.yonorummy.in/GameX/Archer/project.manifest
Archer2	0.0.1	assets/res/raw-assets/dc/dcb52222-124b-4eb2-9ee8-a07283054923.manifest	194	5a7c02fa35f118eac9b3b6257b82f8e9	http://ifs.yonorummy.in/GameX/1.6.8.7/Archer2	http://ifs.yonorummy.in/GameX/Archer2/project.manifest
Archer3	0.0.1	assets/res/raw-assets/8f/8fdda90e-9515-4ee8-9302-d59cf50833f2.manifest	194	434ac422b848baf40ed1dc27e92fbda4	http://ifs.yonorummy.in/GameX/1.6.8.7/Archer3	http://ifs.yonorummy.in/GameX/Archer3/project.manifest
ArcheryMaster	0.0.1	assets/res/raw-assets/54/54e8a3bf-4941-4a10-95e8-425c71a5aa54.manifest	218	dbe525e6957155f38499d6df7e7b8a80	http://ifs.yonorummy.in/GameX/1.6.8.7/ArcheryMaster	http://ifs.yonorummy.in/GameX/ArcheryMaster/project.manifest
Aviator	0.0.1	assets/res/raw-assets/03/03e97b5e-6642-4e78-9826-8796c2abe447.manifest	194	ba51e240a27002eb287dacde43bb12f0	http://ifs.yonorummy.in/GameX/1.6.8.7/Aviator	http://ifs.yonorummy.in/GameX/Aviator/project.manifest
Aviatrix	0.0.1	assets/res/raw-assets/de/de4d2d68-6ce9-4981-8c35-e8f7b66c34f9.manifest	198	82aa19a7cb0264552004a104dfad7fa7	http://ifs.yonorummy.in/GameX/1.6.8.7/Aviatrix	http://ifs.yonorummy.in/GameX/Aviatrix/project.manifest
