component_type	count
TypedArray	6395
cc.Size	6364
cc.Node	6363
cc.PrefabInfo	5754
cc.Sprite	2663
cc.Color	1642
cc.Label	1591
cc.Widget	1203
cc.Vec2	1166
cc.SpriteFrame	858
aaffabCRcpLyqXd9ReiHVw6	677
cc.Button	658
cc.LabelOutline	395
d8545zys0dHtZ5ZAVzt5T2h	365
cc.Layout	322
cc.Asset	294
sp.Skeleton	245
cc.Texture2D	229
cc.Prefab	154
cc.Vec3	132
cc.BlockInputEvents	116
cc.CurveRange	114
cc.Mask	100
cc.Toggle	76
cc.EditBox	73
cc.ClickEvent	71
cc.ScrollView	65
sp.SkeletonData	64
dab1aXr/BtAEaymrI0rDHlW	59
cc.AudioClip	55
7b4dcq48PtKRZmC8KT63lIe	53
cc.SpriteAtlas	46
ccdb17+ab5Gh7tJ8gpsiEkC	44
e7804PQnhxBOaquJihou6Nv	43
cc.RichText	38
8e87bp0JApF0ZoTbpHzSrhm	36
cc.PrivateNode	28
2a4d4GFQ+dOY7heAHgKONe4	26
6ad08rNbNdNpaxSt1EujdzV	25
c3054KRr99HS4hEZV2zCAtK	24
d9bb0mm5qtEo5SZMN3bsHfj	24
63bb7QLBdNENZoYZiWInBAy	23
e81f49adrhFr4/bC4YX9Lhx	23
cc.ToggleContainer	22
37627VmnzFMHpxo+HJOLRqO	22
c5a09lTqKZKE6FCobKt/vl8	22
7d745Tg9kdBVY2hl4ctnZIA	22
cc.BitmapFont	21
e35ce9FfPxISqAdIdqvz10Q	19
1786ctzziBNm5jXvffalfGG	16
c9400rbeRtCXrcKajIO69OZ	15
cc.Material	14
cc.Keyframe	12
6a9a8e7AWREMLlM96iZyb3+	11
cc.EffectAsset	10
i18nSpriteFrameSet	10
1991aro2GtAgYStSKhw2Zs+	9
cc.mesh.VertexFormat	9
ce691atpG9LvJAwCbgk7U1Q	9
39fb2mBe+5A7oeKCcaqGx9/	9
a198djyaiRPYpizxX+cbobp	9
cc.ProgressBar	9
cc.ParticleSystem	8
TabbarItem	8
ad634sz45tEsImtk/cu1YrR	7
cc.AnimationCurve	7
cc.ParticleAsset	7
5d3dd3JP59CD5GqmRzYtD19	7
74257ExVoNP55p2xntkzECe	7
cc.BufferRange	6
cc.Scrollbar	6
8343d4NdvdIL5HSEhlFz613	6
abbdfSQlBxA45L8HaG9a2Rn	5
cc.ParticleSystem3D	5
cc.GradientRange	5
cc.ShapeModule	5
cc.VelocityOvertimeModule	5
cc.LimitVelocityOvertimeModule	5
cc.RotationOvertimeModule	5
cc.TextureAnimationModule	5
cc.Animation	4
6616eGBuIRPtbZDOBYOGJyH	4
cc.SceneAsset	4
cc.Scene	4
cc.Canvas	4
cc.Camera	4
66968JyueBP2YWNjLDTBBBr	3
cc.Mesh	3
cc.mesh.VertexBundle	3
cc.mesh.Primitive	3
cc.AnimationClip	3
94546WCz85P9JRTziB4RnmS	3
f7aaedf/MZK1a1tb3mxgU7V	3
cc.PageView	3
759d8nClNpFiLtKm8XB5N9W	3
3c5d24XLk5K9bvKFY98tbbJ	3
1a5dc+DW15NyJt2TvWMMi5r	2
3c317sEIPlPjZjb1hTUxPbt	2
1ae88xEvBxPSL5WcHaiKgk/	2
c2b41HWJs9Nm5DianhCSxD9	2
0ed55j5JkRHtKCoG9lOD50i	2
cc.JsonAsset	2
55e167GqMtFLqOhQCaCqxjX	2
426d93AmcZHx70H1ft3jsvX	2
e89f53QIJJNop+cakjntaFQ	2
84642TMty9P7YQ/qA88XxeQ	2
d9cf3M0YqpDtqDA4y+1OfIs	2
ea6940v0qtDPZbEAulpVI0K	2
3e978ao1iZMmIm1SxhQpl8B	2
eee09lib2VGWrBz2mqKLjhc	2
b9d5dRQiUVEQpZTnXLHaZzf	2
f051c3pgPdH3Ifw9NIiEfTR	2
4c117g9ts1PX7X88xRKjxRo	1
aed453JGKBOXrQGcfUjBgK8	1
5c139NxOQBP/aCyq5KWSKxp	1
cac58FoHCpMjKqZ7BoyJy6j	1
c0d31AUW+dDOZh8VKpXmv+R	1
a1427YtBopKlr3kPeRrDCjY	1
e47c00azNxEyqWLEMNLfqzD	1
700ceRVWyVEM645zvnkkczS	1
b93c7XXT0VC3r6L5pf+KuLh	1
53d8cOC6+hEw5f8oiNu4d6q	1
