label	count
0	79
99	43
2	37
x1	32
0%	30
Online customer service	17
VERIFIED	14
Confirm	13
OTP	13
WhatsApp	11
Voice	11
Today	10
GO	10
Label	10
Email	9
Records	9
Enter OTP	9
Claim	8
IMPORTANT	8
Telephone	8
1	8
English	7
card_biaoti	7
Music	7
How to find?	7
Withdrawable Balance	7
Send	7
Withdraw Now	7
Copy	7
Rules	6
Sounds	6
card_hint_2	6
Account Number	6
Withdrawal Amount	6
withdraw_hinit	6
Edit	6
Enter text here...	6
Mobile Number	5
ewallte_hint_1	5
SUBMIT DETAILS	5
Cancel	5
客服	5
--	5
Recharge coupons	5
2024/12/30～2025/01/10	5
SUBMIT	5
Enter your mobile number	4
Rewards	4
Event Games:	4
TAP TO CLOSE	4
card_neirong	4
card_neirong2	4
Login	4
You	4
CNIC	4
+91	4
number_hint_3	4
%s	4
Verify E-Wallets Account	4
IFSC Code	4
Upload Payment Proof	4
1500	4
Details	4
card_hint_4	4
USDT(TRC20)	4
+10%	4
SPIN	4
up to	4
Deposits	4
Failed	4
language	3
हिंदी	3
Verify Now	3
Top to connect customer service 24/7	3
Exit	3
Please Select Bank	3
Use Now	3
Login Password	3
SMS	3
Check	3
WAITING TO BEGIN	3
IN PROGRESS	3
DEPOSIT BONUS	3
2025-05-12 03:55:0	3
10.00	3
x55.00	3
100.00/400.00	3
Deposit Amount	3
Submit Now	3
Tips	3
Add a new USDT address to withdraw to.	3
Proceed	3
withdraw_hint_1	3
Cash Balance	3
Cash Bonus	3
Please Select E-Wallet	3
Your WhatsApp number	3
Successful_hint_text	3
UPI	3
Nevershow again	2
Verify Account	2
verify_account_2	2
Please click here for any questions about verification	2
Verify KYC Now	2
EVENT_JH_T182	2
Day1	2
Day2	2
Day3	2
Day4	2
Day5	2
Day6	2
Day7	2
Claim Now	2
Bonus	2
Withdraw	2
Add Cash	2
Multiplayer	2
Skill	2
Single	2
Aviator	2
TIPS	2
Fairplay	2
Login everyday to claim free bonus	2
Edit Bank Card	2
Promo code	2
Active	2
Completed	2
Expired	2
FAQ	2
No coupons	2
Privacy Policy	2
Holder Name	2
Safe Center	2
About Us	2
Responsible Gaming	2
Set Payment PIN	2
3	2
4	2
Login every day to get free bonus	2
1.0X	2
1.5X	2
2.0X	2
TOTAL BET	2
Free Winnings:	2
PAYTABLE	2
ewallte_hint_3	2
STEP1	2
Bank Name	2
Account Holder Name	2
STEP2	2
Bonus Amount	2
UTR Number	2
Please fill in UTR number	2
900,000.00	2
Coming Soon	2
Contact Us	2
UID	2
Total Cash Balance	2
Total Cash Bonus	2
Game Ideas	2
Recently	2
Week	2
Month	2
Claim All	2
Withdraw to USDT	2
Withdraw to UPI	2
upi_biaoti	2
upi_neirong	2
abc@upi	2
112514	2
Date	2
0.00	2
500	2
Name	2
cnic_input	2
Save	2
feedback.tips.whatsapp	2
feedback.message	2
Notification	2
Gift	2
Activity	2
Reminder!	2
Account Number:xxx	2
Verify UPAY Wallets Address	2
Verify BGCASH Wallet Address	2
Withdraw to UPAY Wallet	2
Deposit	2
Withdraw to BGCASH Wallet	2
sender	2
Search	2
search_tip	2
Ref_link_title	2
Next	2
Withdrawals	2
Balance	2
High Light	2
Success	2
In-process	2
1 Day	2
7 Days	2
30 Days	2
COMPLETED	2
Effective time:	2
Bonus value:	2
Unfreeze progress:	2
COLLECT	2
Top	2
Call Back	1
Please input the following information, one of our Phone Support Representatives will getback to you as soon as possible.	1
Tell us what happened	1
Fill in your mobile number	1
Choose a language you can speck	1
Make an appointment for a return visit	1
Bank Card	1
IN REVIEW	1
REJECT	1
KYC Guidelines	1
KYC_guidelines_key\n	1
Verify KYC Now_hint	1
Ends today:	1
Tasks	1
ReturnBonus_tip1	1
Update Success!	1
bank_win_balance_hint	1
Withdraw Instantly	1
Transfer Now	1
Check Details	1
Earn Now >>	1
Manage bank accounts & Wallets UPI ID	1
Have any questions about your balance?	1
Get help	1
Slots	1
Fising	1
download_tips	1
Congratulations	1
+100	1
Money that you can transfer to cash balance	1
+5000	1
V1.0.0.001	1
Play as Guest	1
Register	1
Download App	1
Day 	1
Money that you can withdraw or re-use to play games	1
No data!	1
Downlines Bettings Rebate	1
Vocher_get	1
Input promo code	1
Input voucher code	1
Voucher	1
Collect	1
login_wait	1
log in again after 10 seconds.	1
Withdraw to bank	1
Add a new bank account to withdraw to	1
Add New Bank Account	1
Verify Mobile Number	1
number_hint_1	1
number_hint_2	1
number_hint_4	1
number_neirong1	1
number_neirong2	1
number_neirong3	1
Language	1
Sound	1
CleanIdleGames	1
Term of Conditions	1
To protect your account security	1
Modify Payment PIN	1
Forgot your payment PIN	1
100-500	1
Set your login password	1
Enter your full name to withdraw	1
Spin Options	1
SPIN SPEED	1
AUTO SPIN	1
5.00	1
CONFIRM	1
Free Winnings Packages	1
Package 1.You can withdraw up to 	1
 without 	1
deposit,then all your free winnings will be transfer to	1
Cash Bonus(Not available for withdrawal).	1
Package 2.You can deposit your current free 	1
winnings or any higher amount 	1
 (Cash Balance) to	1
 claim 100% free winnings back.	1
Withdrawable Winnings:	1
Most Vaule Package:	1
You can deposit your current free winnings 	1
 (Cash	1
 Balance) or any higher amount to claim 100% free 	1
winnings back.	1
Most Popular Package:	1
You can deposit any amount(	1
) to unlock same 	1
amount free winnings,then remaining free winnings 	1
will be transferred to Cash Bonus (Not available for 	1
withdrawal).	1
Deposit Now	1
Withdraw_unfreze_tit	1
Withdraw_unfreze_rule	1
Created time:	1
Created amount:	1
Bet requirement:	1
Loading...	1
I already have a account	1
Verify Later	1
Net Banking	1
Use Later	1
This Week	1
Yesterday Earn	1
Last Week	1
Your rank:	1
Point	1
Rank	1
Player	1
Points	1
Prize	1
Referrals_rank_tip1	1
Welcome Bonus	1
36:18:17	1
Free Cash	1
Invite Reward Chest	1
Leaderboard	1
VIP	1
Rewards Today	1
Notice	1
Share App	1
My Referrals	1
Friends Referrals	1
Total Referrals	1
Today Referrals	1
125	1
Refer Date	1
1/100	1
Enter your login password	1
Forget Password	1
feedback_tip	1
Game Bugs	1
Enter game ideas or report game bugs as well as upload pictures.	1
Received	1
Unclaimed	1
panel_return_empty_tip	1
Games	1
Play	1
Rebate	1
Reward	1
State	1
The daily betting cash back are distributed every day at 12:00 AM	1
Add New USDT Address	1
usdt_biaoti	1
usdt_neirong	1
SHARE	1
Add a new UPI ID to withdraw to.	1
Add New UPI ID	1
Reward Detail	1
Reffer Action	1
+0	1
Total	1
Registration bonus	1
Deposit bonus	1
Betting bonus	1
Tax bonus	1
Current Bonus:	1
2023/08/10	1
modi_ewalltes_title	1
modify_ewalltes	1
Money that you can deposit in and withdraw out for responsible gaming	1
MAX BET	1
1,000,000	1
1111	1
2 of 100	1
Maintenance Notice	1
For a better experience, the game has prepared the latest version!	1
SCAN & DOWNLOAD AND WIN WITH ME.	1
https://www.philslotsagent.com	1
Select E-Wallet	1
ewallte_hint_2	1
USDT(TRC-20)	1
usdt_step1	1
Address	1
USDT Amount	1
STEP2:	1
Feedback	1
UTR or UPI Ref NO	1
Please enter your UTR or UPI Ref NO.	1
feedback_tip1	1
feedback_tip2	1
feedback_tip3	1
Please enter your whatsApp number	1
feedback_tip4	1
feedback_tip5	1
quickpay_sel	1
Money that you can use to play games but can’t withdraw	1
Terms Of Use	1
-	1
00:00	1
Delete all	1
No mail	1
Successful!	1
Name:xxx	1
Bank info	1
share_ways	1
My Refer Link	1
Verify Bank Account	1
Retype Account Number	1
card_hint_3	1
*Example: MAHB0001821	1
Bank Proof	1
QUITE	1
