opcode	count
invoke-virtual	22965
move-result-object	17559
iget-object	11521
invoke-static	9865
invoke-direct	8240
const/4	8117
const-string	7894
move-result	7498
return-void	5487
new-instance	5440
if-eqz	5425
invoke-interface	5259
goto	5222
return-object	5074
iput-object	3511
if-nez	3024
check-cast	2773
return	2716
sget-object	2392
const/16	2076
throw	2018
move-object	1816
iget	1552
move-result-wide	1471
move-exception	1397
sput-object	1377
move-object/from16	1282
add-int/lit8	1180
aput-object	1142
monitor-exit	1137
iput	958
if-eq	826
const-wide/16	824
goto/16	805
if-ne	735
if-ge	708
iget-boolean	708
iget-wide	662
cmp-long	628
new-array	588
instance-of	542
invoke-virtual/range	539
move	522
iput-boolean	518
monitor-enter	478
add-int/2addr	478
int-to-long	431
move/from16	422
iput-wide	407
array-length	397
const-class	372
return-wide	363
invoke-direct/range	360
aget-object	303
const	290
if-lez	280
if-lt	268
invoke-static/range	257
if-ltz	209
sub-int/2addr	197
move-wide	190
and-int/2addr	187
shl-int/lit8	185
or-int/2addr	177
and-int/lit16	169
aget	166
long-to-int	158
move-wide/from16	158
sget	153
add-long/2addr	151
and-int/lit8	148
aget-byte	143
if-le	135
xor-int/2addr	134
sub-long/2addr	133
if-gt	131
mul-int/lit8	127
invoke-super	126
const-wide/32	113
if-gez	113
filled-new-array	111
const/high16	106
mul-int	97
if-gtz	80
aput-byte	79
invoke-interface/range	78
int-to-byte	75
nop	62
and-long/2addr	61
aput	60
or-int/lit8	58
packed-switch	56
packed-switch-payload	56
add-int	53
shr-int/lit8	52
const-wide	51
and-int	49
int-to-double	49
ushr-int/lit8	46
sub-int	44
div-int/lit8	42
sub-long	40
add-long	39
filled-new-array/range	35
const-wide/high16	34
shl-int/2addr	33
xor-long/2addr	33
xor-int/lit8	32
ushr-long	31
float-to-int	30
sput	28
or-int/lit16	28
or-long/2addr	28
shl-long/2addr	27
sput-boolean	26
shl-int	25
sget-boolean	23
mul-float	22
div-long/2addr	20
mul-long	20
int-to-float	19
double-to-int	19
sget-wide	18
rem-int/lit8	17
cmpl-double	16
sput-wide	15
aget-wide	15
fill-array-data	14
fill-array-data-payload	14
int-to-char	13
not-int	13
or-int	13
mul-double	12
rsub-int	12
aput-char	11
cmpg-double	11
add-double/2addr	11
shr-long/2addr	10
shr-long	10
ushr-long/2addr	10
aput-wide	10
long-to-double	9
div-long	9
int-to-short	9
aget-char	8
and-long	8
sparse-switch	8
sparse-switch-payload	8
div-int/2addr	7
div-double/2addr	7
div-float/2addr	7
double-to-long	6
rsub-int/lit8	6
float-to-double	6
neg-int	5
add-int/lit16	5
shl-long	5
shr-int/2addr	4
neg-long	4
rem-int/2addr	4
xor-int	4
add-float/2addr	4
double-to-float	4
div-int/lit16	3
aget-boolean	3
xor-long	3
sub-float/2addr	3
cmpg-float	3
sub-float	3
aput-boolean	3
ushr-int	3
neg-double	2
rem-double/2addr	2
not-long	2
ushr-int/2addr	2
rem-long/2addr	2
iput-char	2
sput-byte	2
sget-byte	2
div-int	2
float-to-long	2
or-long	2
iput-byte	2
iget-byte	2
iput-short	2
invoke-super/range	1
iget-char	1
cmpl-float	1
iget-short	1
rem-long	1
