path	json_path	string	node_name	component_type
assets/res/import/2f/2f0e1f9e-6e66-4d16-9277-2672ab5717f9.json	/content/name	paytable_footer02		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/1/_components/2/abs_url/0	advertise/bank_verify_ad.png		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/0/_string	Verify Account		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/0/_N$string	Verify Account		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/0/_string	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/0/_N$string	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/1/_srcKey	Verify Account		aaffabCRcpLyqXd9ReiHVw6
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/4/_components/1/_srcKey	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/0/_string	Verify Account		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/0/_N$string	Verify Account		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/0/_string	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/0/_N$string	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/1/_srcKey	Verify Account		aaffabCRcpLyqXd9ReiHVw6
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/12/_components/1/_srcKey	Verify Account		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/17/_components/0/_string	verify_account_2		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/17/_components/0/_N$string	verify_account_2		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/17/_components/0/_string	verify_account_2		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/17/_components/0/_N$string	verify_account_2		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/18/_name	btn_deposit	btn_deposit	cc.Node
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/18/_name	btn_deposit		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/0/_string	Verify Now		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/0/_N$string	Verify Now		cc.Label
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/0/_string	Verify Now		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/0/_N$string	Verify Now		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/1/_srcKey	Verify Now		aaffabCRcpLyqXd9ReiHVw6
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/19/_components/1/_srcKey	Verify Now		
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/23/_name	bank	bank	cc.Node
assets/res/import/20/208dcbdf-0766-4616-b010-df4a670fd217.json	/23/_name	bank		
