path	bytes	sha256	id3_bytes	frames_sampled	sample_rate	bitrate_kbps	mpeg_version	estimated_duration_s	first_frame_hex
assets/res/raw-assets/b0/b071d29e-c201-4adb-b97a-7b2f5a35f228.mp3	7772	10d2689e38009124c73e92d6b8e0c54e05634d4a683e7d16e9cca73f3b91c98c	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/5b/5b2c6d7e-eed9-44f0-9d90-fac4eb445101.mp3	7772	1073c7e5d9e597122e48a486d7fcad6a10b9e512b34dc6e1a11f9957cd87b678	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/20/206b8163-d2b9-4ce7-a864-e9ac16ed88d6.mp3	12884	ee7bbeb71cd2e7f63b61e46b0df23b18fe5ac5015931f7c5eafded01149f2f36	32	4	44100	56	1	0.104	fffb48c4
assets/res/raw-assets/73/73518c6d-138a-4727-ba1d-48715fc457b3.mp3	13014	02b5ad0a7f7fe510e96333df93903e10bae15b1156d59ed5f92b1caeb0df5c70	32	10	24000	56	2	0.24	fff37064
assets/res/raw-assets/49/4938c469-f59b-484b-8a01-cc4da60c3658.mp3	11876	b40c9c948ded42152042651ea7f714518f285b5ff91ad71bc2022e1571c7c9a5	32	11	44100	56	1	0.287	fffb48c4
assets/res/raw-assets/9a/9a0475fe-44ba-4439-95ae-813be5af0179.mp3	8312	b2e22a0cd9c0e5b73e7afc216a0115c5bbadc64a9391dc32f4910deea7750fe5	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/76/7675c344-e8d6-4103-ad9f-04f4b8c4b4ab.mp3	42080	ff31ca25f87cf35ef35b08ed2965d6482979876c667388a0fbffd8d01c357bf3	32	2	44100	64	1	0.052	fffb58c4
assets/res/raw-assets/dc/dc91f57c-243f-47ca-8323-0f5812eb9a28.mp3	11232	ed8cbe0bf31840238fd49b17dd081bfbbf7e565248a033ed29d28446613261eb	0	54	44100	64	1	1.411	fffb50c0
assets/res/raw-assets/cd/cd11d4b1-2b3f-4e52-8ce6-1625c091d928.mp3	7772	8ff5fe9a5c39de460970155a7027feb23dd982cca386f3a065b74cb2b5edfb2d	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/24/2404dc24-6a00-478c-a59a-f826d8d2a7ea.mp3	7772	d432f7e5bcc5d21f49c833a56ccd5f53b80c6a4620b90527c59322365142150c	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/5b/5ba67114-af07-4c3d-82f8-1fcfafdb1aa4.mp3	21632	3a12b4431e554b11ae9989c4cf0731450e213446feed82b8a4ff0e1d17fc3755	32	2	44100	64	1	0.052	fffb58c4
assets/res/raw-assets/40/40802965-9576-4167-be6d-58c932d24aab.mp3	55985	94dfa17a34694d0406c9dd51441eded3b2a2f823dd4a49c692e3b8e515f54250	32	18	24000	56	2	0.432	fff37064
assets/res/raw-assets/42/425ba3ac-1e96-49d8-907e-82b23b061459.mp3	13892	510b660d76f39f3b02c497052da093608a9ebe3c1750e7d1e20aadeb9809fd7c	32	4	44100	56	1	0.104	fffb48c4
assets/res/raw-assets/ea/ead386f4-c82f-4357-b610-1e62f5192995.mp3	7772	9d4aebac4f422bce4181d8bf79884d3701bb75617fee75db1bc653950cbbb551	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/e2/e2e2206c-98e3-4df0-ac4a-a3b46a89a124.mp3	15908	307f59bf5aad2fcf3cefe5c3d1e7dc29b71e08151e0af9b6c7f507f0476fcc05	32	2	44100	56	1	0.052	fffb48c4
